Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,RAW,VSM,UPPERTRACED_MEDIAN_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,SINGLE,VSM,UPPERTRACED_MEDIAN_SINGLE_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,MULTI,VSM,ALLTRACED_MEDIAN_MULTI_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,MULTI,VSM,UPPERTRACED_MEDIAN_MULTI_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,RAW,VSM,ALLTRACED_MEDIAN_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,MULTI,VSM,LOWERTRACED_MEDIAN_MULTI_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,MULTI,LSA,LOWERTRACED_MEDIAN_MULTI_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,SINGLE,LSA,UPPERTRACED_MEDIAN_SINGLE_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,RAW,VSM,NONETRACED_RFUNDER_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,RAW,LSA,NONETRACED_RFUNDER_RAW_LSA,NA,0.4991496598639456,0.6988095238095238,2.3134920634920637,0.3
EasyClinic,Random,Indirect,0.0,,,,Random,NA,0.4731400496706619,0.4885742630385487,2.3293650793650795,0.2865718993279801
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,SUM,1.0,0.8331676322165056,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,MAX,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,MEDIAN,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,MAX,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,MEDIAN,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,SUM,1.0,0.8331676322165056,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,MAX,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,VSM,ALLTRACED_MAX_MULTI_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,LSA,ALLTRACED_RFSMOTE_SINGLE_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,SUM,1.0,0.8331676322165056,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,MULTI,VSM,ALLTRACED_SUM_MULTI_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,VSM,ALLTRACED_MAX_RAW_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,LSA,ALLTRACED_RFSMOTE_MULTI_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,VSM,ALLTRACED_RFUNDER_SINGLE_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,MEDIAN,1.0,0.17717095238095235,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,MAX,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,RAW,VSM,ALLTRACED_RFNONE_RAW_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,SINGLE,VSM,ALLTRACED_RFNONE_SINGLE_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,RAW,LSA,ALLTRACED_MAX_RAW_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,SINGLE,VSM,ALLTRACED_SUM_SINGLE_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,SUM,1.0,0.8789604088596411,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,SINGLE,LSA,ALLTRACED_MAX_SINGLE_LSA,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,VSM,ALLTRACED_RFSMOTE_RAW_VSM,RFUNDER,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,RFSMOTE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,MEDIAN,1.0,0.9009804761904762,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,RFNONE,1.0,1.0,0.0,1.0
EasyClinic,ALLTRACED,Combined,100.0,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,RFNONE,1.0,1.0,0.0,1.0
